URL	City	Offence
https://fabsy.com/content/fail-to-yield-ticket-camrose	Camrose	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-camrose	Camrose	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-camrose	Camrose	following-too-close
https://fabsy.com/content/stunting-ticket-camrose	Camrose	stunting
https://fabsy.com/content/speeding-ticket-cold-lake	Cold Lake	speeding
https://fabsy.com/content/red-light-ticket-cold-lake	Cold Lake	red-light
https://fabsy.com/content/distracted-driving-ticket-cold-lake	Cold Lake	distracted-driving
https://fabsy.com/content/careless-driving-ticket-cold-lake	Cold Lake	careless-driving
https://fabsy.com/content/seatbelt-ticket-cold-lake	Cold Lake	seatbelt
https://fabsy.com/content/no-insurance-ticket-cold-lake	Cold Lake	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-cold-lake	Cold Lake	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-cold-lake	Cold Lake	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-cold-lake	Cold Lake	following-too-close
https://fabsy.com/content/stunting-ticket-cold-lake	Cold Lake	stunting
https://fabsy.com/content/speeding-ticket-canmore	Canmore	speeding
https://fabsy.com/content/red-light-ticket-canmore	Canmore	red-light
https://fabsy.com/content/distracted-driving-ticket-canmore	Canmore	distracted-driving
https://fabsy.com/content/careless-driving-ticket-canmore	Canmore	careless-driving
https://fabsy.com/content/seatbelt-ticket-canmore	Canmore	seatbelt
https://fabsy.com/content/no-insurance-ticket-canmore	Canmore	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-canmore	Canmore	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-canmore	Canmore	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-canmore	Canmore	following-too-close
https://fabsy.com/content/stunting-ticket-canmore	Canmore	stunting
https://fabsy.com/content/speeding-ticket-high-river	High River	speeding
https://fabsy.com/content/red-light-ticket-high-river	High River	red-light
https://fabsy.com/content/distracted-driving-ticket-high-river	High River	distracted-driving
https://fabsy.com/content/careless-driving-ticket-high-river	High River	careless-driving
https://fabsy.com/content/seatbelt-ticket-high-river	High River	seatbelt
https://fabsy.com/content/no-insurance-ticket-high-river	High River	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-high-river	High River	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-high-river	High River	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-high-river	High River	following-too-close
https://fabsy.com/content/stunting-ticket-high-river	High River	stunting
https://fabsy.com/content/speeding-ticket-okotoks	Okotoks	speeding
https://fabsy.com/content/red-light-ticket-okotoks	Okotoks	red-light
https://fabsy.com/content/distracted-driving-ticket-okotoks	Okotoks	distracted-driving
https://fabsy.com/content/careless-driving-ticket-okotoks	Okotoks	careless-driving
https://fabsy.com/content/seatbelt-ticket-okotoks	Okotoks	seatbelt
https://fabsy.com/content/no-insurance-ticket-okotoks	Okotoks	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-okotoks	Okotoks	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-okotoks	Okotoks	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-okotoks	Okotoks	following-too-close
https://fabsy.com/content/stunting-ticket-okotoks	Okotoks	stunting
https://fabsy.com/content/speeding-ticket-lloydminster	Lloydminster	speeding
https://fabsy.com/content/red-light-ticket-lloydminster	Lloydminster	red-light
https://fabsy.com/content/distracted-driving-ticket-lloydminster	Lloydminster	distracted-driving
https://fabsy.com/content/careless-driving-ticket-lloydminster	Lloydminster	careless-driving
https://fabsy.com/content/seatbelt-ticket-lloydminster	Lloydminster	seatbelt
https://fabsy.com/content/no-insurance-ticket-lloydminster	Lloydminster	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-lloydminster	Lloydminster	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-lloydminster	Lloydminster	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-lloydminster	Lloydminster	following-too-close
https://fabsy.com/content/stunting-ticket-lloydminster	Lloydminster	stunting
https://fabsy.com/content/speeding-ticket-strathmore	Strathmore	speeding
https://fabsy.com/content/red-light-ticket-strathmore	Strathmore	red-light
https://fabsy.com/content/distracted-driving-ticket-strathmore	Strathmore	distracted-driving
https://fabsy.com/content/careless-driving-ticket-strathmore	Strathmore	careless-driving
https://fabsy.com/content/seatbelt-ticket-strathmore	Strathmore	seatbelt
https://fabsy.com/content/no-insurance-ticket-strathmore	Strathmore	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-strathmore	Strathmore	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-strathmore	Strathmore	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-strathmore	Strathmore	following-too-close
https://fabsy.com/content/stunting-ticket-strathmore	Strathmore	stunting
